,masuk_antrian,mulai_layanan,selesai_layanan,new_masuk_antrian,lama_antrian,lama_layanan,lama_proses
0,00:00:02.284,00:00:03.307,00:00:28.973,00:00:02,1.0,25.0,26.0
1,00:02:10.439,00:02:10.651,00:02:25.283,00:02:10,0.0,15.0,15.0
2,00:03:58.066,00:03:58.242,00:04:09.778,00:03:58,0.0,11.0,11.0
3,00:04:27.636,00:04:27.812,00:04:41.523,00:04:27,0.0,14.0,14.0
4,00:05:57.640,00:05:58.063,00:06:12.170,00:05:57,1.0,14.0,15.0
5,00:06:44.962,00:06:45.104,00:06:52.891,00:06:44,1.0,7.0,8.0
6,00:07:00.470,00:07:00.615,00:07:07.141,00:07:00,0.0,7.0,7.0
7,00:08:05.131,00:08:05.273,00:08:14.539,00:08:05,0.0,9.0,9.0
8,00:10:51.871,00:10:52.012,00:11:06.638,00:10:51,1.0,14.0,15.0
9,00:11:10.446,00:11:10.622,00:11:14.852,00:11:10,0.0,4.0,4.0
10,00:14:44.336,00:14:44.477,00:15:12.113,00:14:44,0.0,28.0,28.0
11,00:15:53.302,00:15:53.443,00:16:09.362,00:15:53,0.0,16.0,16.0
12,00:17:03.912,00:17:04.053,00:17:34.022,00:17:03,1.0,30.0,31.0
13,00:18:36.862,00:18:37.004,00:19:06.677,00:18:36,1.0,29.0,30.0
14,00:24:45.032,00:24:45.280,00:25:22.923,00:24:45,0.0,37.0,37.0
