Lap;Lap time;Total time
1;00:00:31.053;00:00:31.053
2;00:00:01.772;00:00:32.825
3;00:00:25.351;00:00:58.176
4;00:00:11.589;00:01:09.765
5;00:00:26.005;00:01:35.770
6;00:01:01.895;00:02:37.665
7;00:00:05.682;00:02:43.347
8;00:00:05.514;00:02:48.861
9;00:01:10.460;00:03:59.321
10;00:00:01.174;00:04:00.495
11;00:00:01.135;00:04:01.630
12;00:02:26.368;00:06:27.998
13;00:00:00.955;00:06:28.953
14;00:00:05.135;00:06:34.088
15;00:00:29.472;00:07:03.560
16;00:00:00.783;00:07:04.343
17;00:00:01.950;00:07:06.293
18;00:00:29.491;00:07:35.784
19;00:00:00.424;00:07:36.208
20;00:00:01.558;00:07:37.766
21;00:01:28.810;00:09:06.576
22;00:00:01.217;00:09:07.793
23;00:00:01.386;00:09:09.179
24;00:00:27.505;00:09:36.684
25;00:00:00.465;00:09:37.149
26;00:00:12.245;00:09:49.394
27;00:00:28.882;00:10:18.276
28;00:00:00.532;00:10:18.808
29;00:00:03.864;00:10:22.672
30;00:00:58.570;00:11:21.242
31;00:01:40.603;00:13:01.845
32;00:00:00.390;00:13:02.235
33;00:00:48.247;00:13:50.482
34;00:00:01.313;00:13:51.795
35;00:00:00.567;00:13:52.362
36;00:00:45.435;00:14:37.797
37;00:00:08.811;00:14:46.608
38;00:00:01.455;00:14:48.063
39;00:00:40.891;00:15:28.954
40;00:00:07.975;00:15:36.929
41;00:00:00.500;00:15:37.429
42;00:01:21.255;00:16:58.684
43;00:00:09.277;00:17:07.961
44;00:00:00.284;00:17:08.245
45;00:00:40.190;00:17:48.435
